   n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 124,          4000,            3880,              0,       7626,         3880,           0
 125,          4078,            3957,              0,       7750,         3957,          15
 126,          4130,            4008,              0,       7875,         4008,           0
 127,          4193,            4070,             15,       8001,         4070,           0
 128,          4307,            4183,              0,       8128,         4183,           0
 129,          4385,            4260,             15,       8256,         4260,           5
 130,          4498,            4372,              0,       8385,         4372,          11
 131,          4617,            4490,              0,       8515,         4490,           0
 132,          4729,            4601,             15,       8646,         4601,           0
 133,          4836,            4707,              0,       8778,         4707,          15
 134,          4861,            4731,              0,       8911,         4731,           0
 135,          4942,            4811,             15,       9045,         4811,           0
 136,          5034,            4902,              0,       9180,         4902,          15
 137,          5153,            5020,              0,       9316,         5020,           0
 138,          5229,            5095,             15,       9453,         5095,           0
 139,          5242,            5107,             11,       9591,         5107,           7
 140,          5270,            5134,              0,       9730,         5134,           0
 141,          5352,            5215,             14,       9870,         5215,           0
 142,          5368,            5230,              0,      10011,         5230,          17
 143,          5493,            5354,              0,      10153,         5354,          14
 144,          5603,            5463,              0,      10296,         5463,           0
 145,          5657,            5516,             15,      10440,         5516,           0
 146,          5758,            5616,              0,      10585,         5616,          15
 147,          5882,            5739,              0,      10731,         5739,          16
 148,          5954,            5810,              0,      10878,         5810,           0
 149,          6050,            5905,             15,      11026,         5905,           0
 150,          6188,            6042,             15,      11175,         6042,           0
 151,          6262,            6115,              0,      11325,         6115,          15
 152,          6283,            6135,              0,      11476,         6135,          15
 153,          6405,            6256,              7,      11628,         6256,           8
 154,          6414,            6264,              0,      11781,         6264,          15
 155,          6494,            6343,              0,      11935,         6343,           7
 156,          6619,            6467,             10,      12090,         6467,           0
 157,          6657,            6504,             14,      12246,         6504,           0
 158,          6661,            6507,             15,      12403,         6507,           0
 159,          6779,            6624,              0,      12561,         6624,          15
 160,          6813,            6657,              0,      12720,         6657,          15
 161,          6903,            6746,              0,      12880,         6746,          15
 162,          7023,            6865,              0,      13041,         6865,           3
 163,          7090,            6931,              0,      13203,         6931,          15
 164,          7132,            6972,              0,      13366,         6972,          15
 165,          7146,            6985,             15,      13530,         6985,           0
 166,          7155,            6993,             15,      13695,         6993,           0
 167,          7247,            7084,             17,      13861,         7084,          16
 168,          7351,            7187,              0,      14028,         7187,          13
